# EXAMPLE ONLY — THE ADDRESSES BELOW ARE PLACEHOLDERS, NOT ANY REAL DEVICE'S
# REGISTER MAP. They exist to show the file shape. Importing this against real
# hardware will read the wrong registers and produce plausible, wrong numbers.
# Replace every address, scale, word order and source with values from your
# controller's published register list before using it.
parameter_name,address,function_code,data_type,word_order,length,scale,offset,unit,description,bit_position,normalized_key,source
gen_voltage_ab,0,3,UINT16,BIG,1,1,0,V,Generator line-to-line voltage A-B,,voltage_L1_L2,REPLACE WITH YOUR MANUAL REF
gen_voltage_bc,1,3,UINT16,BIG,1,1,0,V,Generator line-to-line voltage B-C,,voltage_L2_L3,REPLACE WITH YOUR MANUAL REF
gen_current_a,4,3,UINT16,BIG,1,1,0,A,Generator phase A current,,current_L1,REPLACE WITH YOUR MANUAL REF
gen_frequency,8,3,UINT16,BIG,1,0.1,0,Hz,Generator frequency,,frequency,REPLACE WITH YOUR MANUAL REF
gen_total_kw,10,3,INT32,BIG,2,0.1,0,kW,Generator total real power,,kw,REPLACE WITH YOUR MANUAL REF
engine_speed,20,3,UINT16,BIG,1,1,0,rpm,Engine speed,,engine_speed,REPLACE WITH YOUR MANUAL REF
oil_pressure,22,3,UINT16,BIG,1,0.1,0,psi,Engine oil pressure,,oil_pressure,REPLACE WITH YOUR MANUAL REF
battery_voltage,24,3,UINT16,BIG,1,0.1,0,V,Battery voltage,,battery_voltage,REPLACE WITH YOUR MANUAL REF
engine_hours,26,3,UINT32,BIG,2,0.1,0,h,Engine running hours,,engine_hours,REPLACE WITH YOUR MANUAL REF
breaker_closed,40,3,BIT,BIG,1,1,0,,Generator breaker closed status bit,0,breaker_status,REPLACE WITH YOUR MANUAL REF
DO_07,100,1,BIT,BIG,1,1,0,,Digital output 7,0,DO_07,REPLACE WITH YOUR MANUAL REF
DI_11,200,2,BIT,BIG,1,1,0,,Digital input 11,0,DI_11,REPLACE WITH YOUR MANUAL REF
